CVEGEO,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,CVE_LOC,NOM_LOC,CVE_AGEB,CVE_MZA,POBTOT,POBFEM,POBMAS,POB0_14,POB0_14_P,P15A29A,P15A29A_P,P30A59A,P30A59A_P,P_60YMAS,P_60YMAS_P,P_CD_T,P_CD_P,GRAPROES,GRAPROES_F,GRAPROES_M,VIVTOT,VIVPAR,VIVPAR_P,TVIPAHAB,TVIPAHAB_P,VIVNOHAB,VIVNOHAB_P,PROM_OCUP,PRO_OCUP_C,V3MASOCU,V3MASOCU_P,VPH_PIDT,VPH_PIDT_P,VPH_C_EL,VPH_C_EL_P,VPH_EXSA,VPH_EXSA_P,VPH_DREN,VPH_DREN_P,RECUCALL_C,RAMPAS_C,PASOPEAT_C,BANQUETA_C,GUARNICI_C,CICLOVIA_C,CICLOCAR_C,ALUMPUB_C,LETRERO_C,TELPUB_C,ARBOLES_C,DRENAJEP_C,TRANSCOL_C,ACESOPER_C,ACESOAUT_C,PUESSEMI_C,PUESAMBU_C,RECUCALL_D,RAMPAS_D,BANQUETA_D,GUARNICI_D,ALUMPUB_D,LETRERO_D,TELPUB_D,ARBOLES_D,DRENAJEP_D,TRANSCOL_D,ACESOPER_D,ACESOAUT_D,PUESSEMI_D,PUESAMBU_D,FECHA_POLI,FECHA_INF
1903900012025044,19,Nuevo León,039,Monterrey,0001,Monterrey,2025,044,133,69,64,14,10.53,29,21.8,42,31.58,48,36.09,5,3.76,15.4,14.82,16.05,48,48,100,45,93.75,3,6.25,2.96,0.51,0,0,45,100,45,100,45,100,45,100,1,3,2,1,1,3,3,2,2,3,1,3,3,3,3,3,3,Todas las vialidades,Ninguna vialidad,Todas las vialidades,Todas las vialidades,Alguna vialidad,Alguna vialidad,Ninguna vialidad,Todas las vialidades,Ninguna vialidad,Ninguna vialidad,Restricción en ninguna vialidad,Restricción en ninguna vialidad,Ninguna vialidad,Ninguna vialidad,2020,2020
1903900012025064,19,Nuevo León,039,Monterrey,0001,Monterrey,2025,064,62,22,40,3,4.84,27,43.55,21,33.87,11,17.74,3,4.84,14.56,13.62,15.08,28,28,100,28,100,0,0,2.21,0.54,0,0,28,100,28,100,28,100,28,100,1,3,2,1,1,3,3,2,1,3,1,3,3,3,3,3,3,Todas las vialidades,Ninguna vialidad,Todas las vialidades,Todas las vialidades,Alguna vialidad,Todas las vialidades,Ninguna vialidad,Todas las vialidades,Ninguna vialidad,Ninguna vialidad,Restricción en ninguna vialidad,Restricción en ninguna vialidad,Ninguna vialidad,Ninguna vialidad,2020,2020
1903900012025072,19,Nuevo León,039,Monterrey,0001,Monterrey,2025,072,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,1,1,3,3,2,2,3,1,2,3,3,3,3,3,Todas las vialidades,Alguna vialidad,Todas las vialidades,Todas las vialidades,Alguna vialidad,Alguna vialidad,Ninguna vialidad,Todas las vialidades,Alguna vialidad,Ninguna vialidad,Restricción en ninguna vialidad,Restricción en ninguna vialidad,Ninguna vialidad,Ninguna vialidad,2020,2020
1903900012025039,19,Nuevo León,039,Monterrey,0001,Monterrey,2025,039,25,13,12,-1,8,8,32,9,36,6,24,-1,8,11,10.54,11.6,8,8,100,6,75,-1,25,4.17,0.81,0,0,6,100,6,100,6,100,6,100,1,3,3,1,1,3,3,2,1,3,2,3,3,3,3,3,3,Todas las vialidades,Ninguna vialidad,Todas las vialidades,Todas las vialidades,Alguna vialidad,Todas las vialidades,Ninguna vialidad,Alguna vialidad,Ninguna vialidad,Ninguna vialidad,Restricción en ninguna vialidad,Restricción en ninguna vialidad,Ninguna vialidad,Ninguna vialidad,2020,2020
1903900012025051,19,Nuevo León,039,Monterrey,0001,Monterrey,2025,051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,3,3,3,3,3,1,3,3,3,3,3,3,Todas las vialidades,Ninguna vialidad,Todas las vialidades,Todas las vialidades,Ninguna vialidad,Ninguna vialidad,Ninguna vialidad,Todas las vialidades,Ninguna vialidad,Ninguna vialidad,Restricción en ninguna vialidad,Restricción en ninguna vialidad,Ninguna vialidad,Ninguna vialidad,2020,2020
1903900012025012,19,Nuevo León,039,Monterrey,0001,Monterrey,2025,012,52,32,20,0,0,7,13.46,15,28.85,30,57.69,4,7.69,12.29,10.94,14.45,23,23,100,22,95.65,-1,4.35,2.36,0.45,0,0,22,100,22,100,22,100,22,100,1,3,3,1,1,3,3,2,1,3,2,3,3,3,3,3,3,Todas las vialidades,Ninguna vialidad,Todas las vialidades,Todas las vialidades,Alguna vialidad,Todas las vialidades,Ninguna vialidad,Alguna vialidad,Ninguna vialidad,Ninguna vialidad,Restricción en ninguna vialidad,Restricción en ninguna vialidad,Ninguna vialidad,Ninguna vialidad,2020,2020
1903900012025019,19,Nuevo León,039,Monterrey,0001,Monterrey,2025,019,305,158,147,25,8.2,110,36.07,90,29.51,80,26.23,12,3.93,14.16,13.57,14.81,113,113,100,108,95.58,5,4.42,2.82,0.61,-1,0.93,108,100,108,100,108,100,108,100,1,3,3,1,1,3,3,2,2,3,2,3,3,3,3,3,3,Todas las vialidades,Ninguna vialidad,Todas las vialidades,Todas las vialidades,Alguna vialidad,Alguna vialidad,Ninguna vialidad,Alguna vialidad,Ninguna vialidad,Ninguna vialidad,Restricción en ninguna vialidad,Restricción en ninguna vialidad,Ninguna vialidad,Ninguna vialidad,2020,2020
1903900012025050,19,Nuevo León,039,Monterrey,0001,Monterrey,2025,050,117,60,57,15,12.82,32,27.35,39,33.33,31,26.5,-1,-1,14.49,13.84,15.12,48,48,100,43,89.58,5,10.42,2.72,0.55,0,0,43,100,43,100,43,100,43,100,1,3,3,1,1,3,3,2,2,3,1,3,3,3,3,3,3,Todas las vialidades,Ninguna vialidad,Todas las vialidades,Todas las vialidades,Alguna vialidad,Alguna vialidad,Ninguna vialidad,Todas las vialidades,Ninguna vialidad,Ninguna vialidad,Restricción en ninguna vialidad,Restricción en ninguna vialidad,Ninguna vialidad,Ninguna vialidad,2020,2020
1903900012025010,19,Nuevo León,039,Monterrey,0001,Monterrey,2025,010,50,25,25,5,10,11,22,15,30,19,38,-1,4,14.6,14,15.24,19,19,100,18,94.74,-1,5.26,2.78,0.5,0,0,18,100,18,100,18,100,18,100,1,3,2,1,1,3,3,2,2,3,1,3,3,3,3,3,3,Todas las vialidades,Ninguna vialidad,Todas las vialidades,Todas las vialidades,Alguna vialidad,Alguna vialidad,Ninguna vialidad,Todas las vialidades,Ninguna vialidad,Ninguna vialidad,Restricción en ninguna vialidad,Restricción en ninguna vialidad,Ninguna vialidad,Ninguna vialidad,2020,2020
1903900012025002,19,Nuevo León,039,Monterrey,0001,Monterrey,2025,002,62,26,36,9,14.52,8,12.9,24,38.71,21,33.87,3,4.84,14.62,13.92,15.21,28,28,100,26,92.86,-1,7.14,2.38,0.55,0,0,26,100,26,100,26,100,26,100,1,3,3,2,2,3,3,2,2,3,2,3,3,3,3,3,3,Todas las vialidades,Ninguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Alguna vialidad,Ninguna vialidad,Alguna vialidad,Ninguna vialidad,Ninguna vialidad,Restricción en ninguna vialidad,Restricción en ninguna vialidad,Ninguna vialidad,Ninguna vialidad,2020,2020
1903900012025061,19,Nuevo León,039,Monterrey,0001,Monterrey,2025,061,395,202,193,25,6.33,156,39.49,120,30.38,94,23.8,10,2.53,15.13,14.53,15.75,164,164,100,155,94.51,9,5.49,2.55,0.57,0,0,155,100,155,100,155,100,155,100,1,2,2,1,1,3,3,2,2,2,1,3,3,3,3,3,3,Todas las vialidades,Alguna vialidad,Todas las vialidades,Todas las vialidades,Alguna vialidad,Alguna vialidad,Alguna vialidad,Todas las vialidades,Ninguna vialidad,Ninguna vialidad,Restricción en ninguna vialidad,Restricción en ninguna vialidad,Ninguna vialidad,Ninguna vialidad,2020,2020
1903900012025020,19,Nuevo León,039,Monterrey,0001,Monterrey,2025,020,58,33,25,11,18.97,11,18.97,23,39.66,13,22.41,0,0,15.13,14.35,16.1,27,27,100,27,100,0,0,2.15,0.42,0,0,27,100,27,100,27,100,27,100,1,3,3,1,1,3,3,2,2,3,1,3,3,3,3,3,3,Todas las vialidades,Ninguna vialidad,Todas las vialidades,Todas las vialidades,Alguna vialidad,Alguna vialidad,Ninguna vialidad,Todas las vialidades,Ninguna vialidad,Ninguna vialidad,Restricción en ninguna vialidad,Restricción en ninguna vialidad,Ninguna vialidad,Ninguna vialidad,2020,2020
1903900012025048,19,Nuevo León,039,Monterrey,0001,Monterrey,2025,048,126,69,57,12,9.52,21,16.67,43,34.13,50,39.68,8,6.35,15.11,14.82,15.44,46,46,100,46,100,0,0,2.74,0.49,0,0,46,100,46,100,46,100,46,100,1,3,3,1,1,3,3,2,2,3,2,3,2,3,3,3,3,Todas las vialidades,Ninguna vialidad,Todas las vialidades,Todas las vialidades,Alguna vialidad,Alguna vialidad,Ninguna vialidad,Alguna vialidad,Ninguna vialidad,Alguna vialidad,Restricción en ninguna vialidad,Restricción en ninguna vialidad,Ninguna vialidad,Ninguna vialidad,2020,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,105,,107,,,,,,,,,,,,,,,,,,,,,
